Virat Kohli,Sports,India,269,123,332,0.55%,Mega Influencer
Shraddha ✶,Entertainment,India,89,647,958,2.66%,Mega Influencer
Narendra Modi,News & Politics,India,89,538,188,1.64%,Mega Influencer
Alia Bhatt 💛,Entertainment,India,84,629,732,2.79%,Mega Influencer
Katrina Kaif,Entertainment,India,80,101,417,1.60%,Mega Influencer
दीपिका पादुकोण,Entertainment,India,79,286,783,1.04%,Mega Influencer
Neha Kakkar,Music,India,78,532,927,0.49%,Mega Influencer
BTS official,Entertainment,India,74,700,656,1.60%,Mega Influencer
URVASHI RAUTELA,Entertainment,India,71,156,706,0.06%,Mega Influencer
Jacqueliene Fernandez,Entertainment,India,70,227,126,0.87%,Mega Influencer
Salman Khan,Entertainment,India,69,002,005,1.40%,Mega Influencer
Akshay Kumar,Entertainment,India,67,991,382,0.69%,Mega Influencer
AnushkaSharma1588,--,India,67,671,072,2.63%,Mega Influencer
disha patani (paatni) 🦋,Entertainment,India,61,336,065,0.71%,Mega Influencer
Kriti,--,India,57,772,202,0.52%,Mega Influencer
Sunny Leone,Entertainment,India,55,312,004,0.35%,Mega Influencer
Jannat Zubair Rahmani,Entertainment,India,49,784,430,0.76%,Mega Influencer
Sachin Tendulkar,Sports,India,48,786,054,1.65%,Mega Influencer
M S Dhoni,Sports,India,48,297,807,12.30%,Mega Influencer
Hrithik Roshan,Entertainment,India,47,561,188,0.54%,Mega Influencer
Ranveer Singh,Entertainment,India,47,348,505,0.67%,Mega Influencer
Shah Rukh Khan,Entertainment,India,47,026,488,2.71%,Mega Influencer
Shahid Kapoor,--,India,46,821,645,1.03%,Mega Influencer
VarunDhawan,Entertainment,India,46,803,887,1.12%,Mega Influencer
Nora Fatehi,Entertainment,India,46,733,430,0.39%,Mega Influencer
Kapil Sharma,Entertainment,India,45,917,570,0.51%,Mega Influencer
Sara Ali Khan,Entertainment,India,45,531,160,0.79%,Mega Influencer
𝚆𝚊𝚗𝚍𝚎𝚛𝚒𝚗𝚐 𝚑𝚎𝚍𝚘𝚗𝚒𝚜𝚝 🫧,--,India,44,347,434,0.99%,Mega Influencer
Rashmika Mandanna,Entertainment,India,43,156,586,3.76%,Mega Influencer
Tiger Shroff,Entertainment,India,39,908,779,0.60%,Mega Influencer
Madhuri Dixit,Entertainment,India,39,636,593,0.89%,Mega Influencer
Anushka Sen,Beauty,India,39,300,362,0.73%,Mega Influencer
KARTIK AARYAN,Vloging,India,38,999,396,0.83%,Mega Influencer
Rohit Sharma,Sports,India,38,679,492,8.18%,Mega Influencer
Amitabh Bachchan,Entertainment,India,37,586,984,0.41%,Mega Influencer
Guru Randhawa,Music,India,35,521,789,0.36%,Mega Influencer
Sonam A Kapoor,Entertainment,India,35,189,509,0.36%,Mega Influencer
Samantha,Fashion & Style,India,35,105,994,1.94%,Mega Influencer
KIARA,--,India,34,951,538,1.98%,Mega Influencer
Team India,Sports,India,33,348,521,3.21%,Mega Influencer
Netflix US,Entertainment,India,33,078,247,0.15%,Mega Influencer
apple,Science & Technology,India,32,689,392,0.24%,Mega Influencer
FAISAL SHAIKH,Entertainment,India,32,399,966,0.75%,Mega Influencer
Shilpa Shetty Kundra,Food & Drinks,India,32,330,177,0.41%,Mega Influencer
Avneet Kaur,Vloging,India,32,274,044,0.46%,Mega Influencer
mon,--,India,31,902,015,0.62%,Mega Influencer
Awez Darbar,Entertainment,India,31,409,265,0.52%,Mega Influencer
Arishfa Khan,Vloging,India,30,913,565,0.23%,Mega Influencer
Hardik Himanshu Pandya,Sports,India,30,563,404,4.08%,Mega Influencer
shreyaghoshal,Entertainment,India,30,121,741,0.77%,Mega Influencer